date,material,quantity_used,rainfall_mm
2023-01-01 00:00:00,Cement,353.0,9.676709088070272
2023-01-02 00:00:00,Cement,761.0,5.587094132687701
2023-01-03 00:00:00,Cement,824.0,1.5568602725954117
2023-01-04 00:00:00,Cement,867.0,1.254931241175521
2023-01-05 00:00:00,Cement,805.0,2.985229983165346
2023-01-06 00:00:00,Cement,855.0,2.7900762123191525
2023-01-07 00:00:00,Cement,395.0,0.46129058890683194
2023-01-08 00:00:00,Cement,407.0,1.5845373715975275
2023-01-09 00:00:00,Cement,856.0,0.7149849438822153
2023-01-10 00:00:00,Cement,843.0,4.037534476566104
2023-01-11 00:00:00,Cement,873.0,0.8447600894214735
2023-01-12 00:00:00,Cement,815.0,0.9936577242647782
2023-01-13 00:00:00,Cement,863.0,0.516672639291661
2023-01-14 00:00:00,Cement,381.0,6.3858709256441255
2023-01-15 00:00:00,Cement,481.0,5.544059645023958
2023-01-16 00:00:00,Cement,965.0,8.08299300633318
2023-01-17 00:00:00,Cement,916.0,1.2528647578198149
2023-01-18 00:00:00,Cement,870.0,3.5047746911596054
2023-01-19 00:00:00,Cement,869.0,1.2543943653919587
2023-01-20 00:00:00,Cement,773.0,9.774723252023703
2023-01-21 00:00:00,Cement,485.0,8.924543844953213
2023-01-22 00:00:00,Cement,493.0,3.749287785019233
2023-01-23 00:00:00,Cement,938.0,3.2592323084325825
2023-01-24 00:00:00,Cement,948.0,6.514426093138058
2023-01-25 00:00:00,Cement,872.0,6.177058926136915
2023-01-26 00:00:00,Cement,882.0,4.521447929405095
2023-01-27 00:00:00,Cement,911.0,5.631976044692811
2023-01-28 00:00:00,Cement,516.0,4.32399365568201
2023-01-29 00:00:00,Cement,384.0,5.10600629003174
2023-01-30 00:00:00,Cement,916.0,4.445729650308998
2023-01-31 00:00:00,Cement,988.0,6.799538188845043
2023-02-01 00:00:00,Cement,934.0,8.464310303665238
2023-02-02 00:00:00,Cement,990.0,3.9567070740436208
2023-02-03 00:00:00,Cement,973.0,0.9765543677110722
2023-02-04 00:00:00,Cement,455.0,0.6047071787689162
2023-02-05 00:00:00,Cement,469.0,4.174988149867427
2023-02-06 00:00:00,Cement,978.0,4.228187955306413
